"ProductName","ModelNo","CoolingCapacity","FCUCapacity","Price","ProductCategory","Quantity","ProductCode","Brand","ProductTax","PowerConsumption","CurrentRating","EfficiencyProfile","IsActive","Tags","ImagePath","createdOn","id","deleted","CreatedOn"
"Daikin","MKM50VVMG",4200,4200,961,"Condenser",1,1,"Daikin",0.12,0.53,"11A",0.8,"Yes","system1","public/images/AC-Images/C-Daikin-1.png","2021-11-25T20:14:02.000Z",1,false,"Invalid date"
"Daikin-2","MKM75VVMG",6000,6000,1335,"Condenser",1,2,"Daikin",0.12,0.84,"11A",0.8,"Yes","system1","public/images/AC-Images/C-Daikin-1.png","2021-11-25T20:14:02.000Z",2,false,"Invalid date"
"Daikin","MKM75VVMG",6000,6000,1335,"Condenser",1,2,"Daikin",0.12,0.84,"11A",0.8,"Yes","system1","public/images/AC-Images/C-Daikin-1.png","2021-11-25T20:14:02.000Z",3,false,"Invalid date"
"Daikin","MKM85VVMG",7100,7100,1435,"Condenser",1,3,"Daikin",0.12,1.52,"11A",0.8,"Yes","system1","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",4,false,"Invalid date"
"ME","MXY-2H20VF",4500,4500,945,"Condenser",1,9,"ME",0.12,2.4,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",5,false,"Invalid date"
"ME","MXY-3H28VG",6500,6500,1350,"Condenser",1,10,"ME",0.12,2.4,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",6,false,"Invalid date"
"ME","MXY-4H33VG",6900,6900,1530,"Condenser",1,11,"ME",0.12,2.2,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",7,false,"Invalid date"
"ME","MXY-4H38VG",8000,8000,2070,"Condenser",1,12,"ME",0.12,2.43,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",8,false,"Invalid date"
"ME","MXY-5H48VG",9200,9200,2340,"Condenser",1,13,"ME",0.12,2.36,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",9,false,"Invalid date"
"Toshiba","RAS-2M21U2ACVG-SG",4500,4500,900,"Condenser",1,19,"Toshiba",0.12,1.97,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",10,false,"Invalid date"
"Toshiba","RAS-3M31U2ACVG-SG",6000,6000,1220,"Condenser",1,20,"Toshiba",0.12,1.97,"11A",0.8,"Yes","system2","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",11,false,"Invalid date"
"Toshiba","RAS-3M41U2ACVG-SG",4300,4300,1310,"Condenser",1,21,"Toshiba",0.12,1.92,"11A",0.8,"Yes","system3","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",12,false,"Invalid date"
"Toshiba","RAS-4M41U2ACVG-SG",6600,6600,1360,"Condenser",1,22,"Toshiba",0.12,2.25,"11A",0.8,"Yes","system3","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",13,false,"Invalid date"
"Toshiba","RAS-5M51U2ACVG-SG",8300,8300,1480,"Condenser",1,23,"Toshiba",0.12,2.19,"11A",0.8,"Yes","system3","public/images/AC-Images/C-Mit-1.png","2021-11-25T20:14:02.000Z",14,false,"Invalid date"
